职位标题,职位链接,公司名称,工作地点,薪资待遇,职位描述,职位类型,发布时间,职位特征,所需技能,申请类型,勤務時間・休日,仕事内容,給与・報酬,雇用形態,勤務地・交通
IT事務／ワークライフバランス抜群／研修充実／残業ほぼなし,https://xn--pckua2a7gp15o89zb.com/jb/14421794bcfb8ac80f4fca0cc0a26a36,未找到公司名称,東京都 千代田区,"月給25万3,400円～47万3,750円",【仕事内容】オフィスワークしながらITスキルも伸ばせる!/ 「ITスキルを身につけたい」その気持ちだけで大歓迎!...,正社員,14日以上前,"未経験OK, 英語活用, RPA, VBA, 土日祝休, 研修あり, WワークOK",英語,かんたん応募,"■勤務時間詳細
9:00～18:00

■休日詳細
＼年間休日120日以上／
土曜日・日曜日・祝日
GW休日
夏季休暇
年末年始休日
有給休暇
長期・連続休暇（5日以上の連続休暇も取得可能）
産前・産後休暇 ★男性、女性ともに取得実績あり！
育児休暇 ★男性、女性ともに取得実績あり！

＼自分の時間を大切にできます！／
プライベートを満喫する社員が多数
先輩たちの仕事終わりの過ごし方は…

☆英語や中国語、韓国語を勉強
☆アニメやゲーム、映画、韓流ドラマを堪能
☆野球やサッカーなどスポーツでリフレッシュ
☆アパレルブランドで買い物
◇犬や猫などペットと過ごす など",暂无信息,"月給25万3,400円～47万3,750円
■給与詳細
月給25万3400円以上～47万3750円以上＋各種手当
 ※未経験からでも30万円以上の給与提示実績あり

※上記給与額はみなし残業手当（月10時間分・1万8400円以上）を含みます。
※超過分の残業手当は別途支給いたします。
※経験・能力を考慮し決定いたします。

■福利厚生詳細
昇給／給与改定 年2回（6月・12月）
各種社会保険完備
交通費（月3万円まで）
時間外手当（超過分支給）
企業型確定拠出年金（401K）
定期フォローアップ面談
定期健康診断
インフルエンザ予防接種
各種社員交流イベント
副業OK
オフィス内禁煙・分煙
有料Eラーニングを無料利用可能
資格取得支援制度（ITパスポート、MOS資格など）
└300以上の取得推奨資格を定めており、受験費用を全額負担！",正社員,"東京都千代田区
"
IT事務／昇給チャンス豊富／未経験OK／月給30万円も可能,https://xn--pckua2a7gp15o89zb.com/jb/000833e50da3fa0d2de853fbd7a12708,未找到公司名称,東京都 港区,"月給25万3,400円～47万3,750円",【仕事内容】オフィスワークしながらITスキルも伸ばせる!/ 「ITスキルを身につけたい」その気持ちだけで大歓迎!...,正社員,14日以上前,"未経験OK, 英語活用, RPA, 交通費, 土日祝休, EXCEL, 社保完備","英語, EXCEL",かんたん応募,"■勤務時間詳細
9:00～18:00

■休日詳細
＼年間休日120日以上／
土曜日・日曜日・祝日
GW休日
夏季休暇
年末年始休日
有給休暇
長期・連続休暇（5日以上の連続休暇も取得可能）
産前・産後休暇 ★男性、女性ともに取得実績あり！
育児休暇 ★男性、女性ともに取得実績あり！

＼自分の時間を大切にできます！／
プライベートを満喫する社員が多数
先輩たちの仕事終わりの過ごし方は…

☆英語や中国語、韓国語を勉強
☆アニメやゲーム、映画、韓流ドラマを堪能
☆野球やサッカーなどスポーツでリフレッシュ
☆アパレルブランドで買い物
◇犬や猫などペットと過ごす など",暂无信息,"月給25万3,400円～47万3,750円
■給与詳細
月給25万3400円以上～47万3750円以上＋各種手当
 ※未経験からでも30万円以上の給与提示実績あり

※上記給与額はみなし残業手当（月10時間分・1万8400円以上）を含みます。
※超過分の残業手当は別途支給いたします。
※経験・能力を考慮し決定いたします。

■福利厚生詳細
昇給／給与改定 年2回（6月・12月）
各種社会保険完備
交通費（月3万円まで）
時間外手当（超過分支給）
企業型確定拠出年金（401K）
定期フォローアップ面談
定期健康診断
インフルエンザ予防接種
各種社員交流イベント
副業OK
オフィス内禁煙・分煙
有料Eラーニングを無料利用可能
資格取得支援制度（ITパスポート、MOS資格など）
└300以上の取得推奨資格を定めており、受験費用を全額負担！",正社員,"東京都港区
"
「リーダー候補」社内SE兼ヘルプデスクIT×人材業界／インフラ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=le459452dbf16ae490dce834d636313c0&p=t%2BAK7k0GmMUr0ZRss/MBm6vm9HtEnpvF3u1GGtq7OTfoo4Y35rvjfG5mdrs/nYjqrST/pa1odr5h3hUBdjCAsQ%2Bf6DkuB%2BuBT466X1tsR7NZQBkxjDBKIT8gZ%2BXpqcUGoftjdNyTVdLGR2pfgAM6JOid2Elqbm9BLJLjl1VcJRehnQ/nuBqf0bMLdhkcr1y2nPY2kuJvIo74T/VFS1hSidXOJ1Ii58pFMSFP/l4qkbIsM3Tm1NKcQwBR1uI7n3LI6defPCBcJ/ndO02QKvx1twVxo7Y%2Bxb0mswu3QMwMBpIjMl/il76eVXeTIfZ%2B2M0QEEGFHkE%2BUwFxK2aUry9HbE0g6yVmuolOWd0D7iCsZbM6kUA78liu3ZTzkPWedXrvAiWjCWDOsLE8TMGURxWD0%2BF694HSpNrwlYysZm55K5PfIE9dsIjic5PnUK1cPLIt2lcbvVpUTUC7f9WdUUrxapz3Wj/zn7J5tdrJecnYtz6Qs6NIttu9C6WDjV/TF9KdHl2hnCdFxFqlac4/eN6Emw%3D%3D&ph=0f85fcbe8090&phv=1,株式会社ギークリー,東京都,年収500万円～700万円,【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>サービス>人材紹介・人材派遣...IT資産管理(PCキッティング、アカウント管理 等)・ITに関する問い合わせ・相談対応(メール・対面)...,正社員,10時間前,"在宅ワーク, 女性活躍, ビッグデータ, 交通費, 年休120日～, 禁煙・分煙, ベンチャー",ビッグデータ,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
IT事務／横浜勤務／未経験OK／昇給チャンス豊富／月給30万円可,https://xn--pckua2a7gp15o89zb.com/jb/49215310c24961d3d8ff9db63126f3d0,未找到公司名称,神奈川県 横浜市 西区,"月給25万3,400円～47万3,750円",【仕事内容】オフィスワークしながらITスキルも伸ばせる!/ 「ITスキルを身につけたい」その気持ちだけで大歓迎!...,正社員,14日以上前,"未経験OK, 英語活用, 資格取得支援, 年休120日～, 土日祝休, EXCEL, 社保完備","資格, 英語, EXCEL",かんたん応募,"■勤務時間詳細
9:00～18:00

■休日詳細
＼年間休日120日以上／
土曜日・日曜日・祝日
GW休日
夏季休暇
年末年始休日
有給休暇
長期・連続休暇（5日以上の連続休暇も取得可能）
産前・産後休暇 ★男性、女性ともに取得実績あり！
育児休暇 ★男性、女性ともに取得実績あり！

＼自分の時間を大切にできます！／
プライベートを満喫する社員が多数
先輩たちの仕事終わりの過ごし方は…

☆英語や中国語、韓国語を勉強
☆アニメやゲーム、映画、韓流ドラマを堪能
☆野球やサッカーなどスポーツでリフレッシュ
☆アパレルブランドで買い物
◇犬や猫などペットと過ごす など",暂无信息,"月給25万3,400円～47万3,750円
■給与詳細
月給25万3400円以上～47万3750円以上＋各種手当
 ※未経験からでも30万円以上の給与提示実績あり

※上記給与額はみなし残業手当（月10時間分・1万8400円以上）を含みます。
※超過分の残業手当は別途支給いたします。
※経験・能力を考慮し決定いたします。

■福利厚生詳細
昇給／給与改定 年2回（6月・12月）
各種社会保険完備
交通費（月3万円まで）
時間外手当（超過分支給）
企業型確定拠出年金（401K）
定期フォローアップ面談
定期健康診断
インフルエンザ予防接種
各種社員交流イベント
副業OK
オフィス内禁煙・分煙
有料Eラーニングを無料利用可能
資格取得支援制度（ITパスポート、MOS資格など）
└300以上の取得推奨資格を定めており、受験費用を全額負担！",正社員,"神奈川県横浜市西区
"
社内SEネットワークエンジニア業界内でもずば抜けたIT投資,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lfc179042daa57ec2af8166ff39ceac05&p=t%2BAK7k0GmMUr0ZRss/MBmyP8B1C9c00Zqn9v3/E8pF/A4SefYYTjf5LJVjL3GGVxFbi6Vic%2BMJTisjPm6bIoJAYG0AP8nj3uEmbPeSNblsABqLEWhlK86Zu/dPSlpWVUDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsM9AVyO4FQJt43jaSymL3D2L60DhRCgEIfutSo%2BgwN8igUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gIqefV2w1xOrbZLglsWjbv5Sd/D0G%2BynthgaOQCH2Y/ozD1RSXG2MF%2Bq4ZK5s49nNcfSZVTPo%2B534V%2Bx/6gyTpZzW9lWSkiyHiegqNtqtc8Tv/1Xk86Eog6WjcP3/oIRLh2sWWNWnSCd2CxPGafYEqE%3D&ph=48ce73d86cd5&phv=1,株式会社ゼンショーホールディングス,東京都,"年収800万円～1,000万円",【仕事内容】<職種>IT技術職>インフラエンジニア<業種>サービス>外食...<仕事内容>様々な業態のM&Aを通じてグローバルで事業を拡大している当社のネットワークの企画・設計・構築・運用をお任せします。IT×フード...,正社員,10時間前,"女性活躍, 交通費, AWS, 年休120日～, 1000人以上, グローバル, 禁煙・分煙",AWS,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
「キーエンス／グローバルIT推進グループ」セキュリティエンジニアグロー...,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lb14745fdc83628b1f0fefbcb6cd125e5&p=t%2BAK7k0GmMUr0ZRss/MBm9N6Htil/D7A2S9l3bNm0Qt2DerV%2BG4jgcqwz54wfX9xZCD9qLSCrDwRTqNxrB310wYG0AP8nj3uEmbPeSNblsB%2BRra3AHQQ3m3JN2L8M1SgDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsOBVKeGQ2HDFH4vzOX929bJr8/3UX3kd9%2BYOPNaEkCPCAUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gPMlVRIEEy7tnXlREBK%2BvY4rckfICKffGXQxtOVB6T8Y0CkveqZY2%2BCjh/wnX13ZHvzJWh5qzR6vKqa6xo8MTAFp4Xuwk/PTAojEiigRR%2Bs0Do/UQT6f/MCPItBQJ4a%2BjYMnd8NjnqZEQKqhmPE4KVJpKwJ1Fta5EU%2B5lN5KczjOIAMtRIfECbg7%2BOb/8aKoLw%3D%3D&ph=6801244260a9&phv=1,株式会社キーエンス,東京都,"年収1,200万円～2,000万円",【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>メーカー>精密・計測機器...世界20カ国に展開する現地法人を含めたグローバル規模でのIT基盤を脅威から守り...,未指定,2日前,"在宅ワーク, 英語活用, 週休2日, Azure, 昇給あり, 賞与あり, 1000人以上","Azure, 英語",通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
IT業界での営業職／リモート勤務可,https://xn--pckua2a7gp15o89zb.com/jb/de1ebc1f3bc8f5c695145b43b5347a78,エンライズテック株式会社,東京都 渋谷区,年収312万円,【仕事内容/この仕事のミッション】プライムベンダーや大手SIerに対して、ITエンジニアの技術支援サービスの提案を行います。...【業種メイン】ITコンサルティング 【業種サブ】BPアウトソーシング(営業...,正社員,1日前,"未経験OK, 在宅ワーク, 土日祝休, 増員募集, 交通費, 社保完備, 産休・育休",未指定,かんたん応募,"9:00:00
18:00:00
なし
土日祝休み
120
夏季休暇, 年末年始休暇, 有給休暇, GW休暇, 慶弔休暇, 産休・育休",暂无信息,"312
420
年収例）
基本給220,100円＋固定残業代26,900円（固定残業15H）＋住宅手当10,000円＋リモート手当3,000円）
・賞与：あり

※これまでの経験・前職の給与・スキルなどに応じて支給額を決定します。
※固定残業を超える時間外労働には、別途残業手当を支給します。
※固定残業を超える時間外労働には、別途残業手当を支給します。
業績賞与
１ヶ月分
なし
交通費支給,住宅手当,健康診断,役職手当,社会保険完備,資格取得制度,資格手当
＜各種手当・補助＞
●資格取得奨励制度（2,500円〜30,000円）
●残業代、夜勤手当
●通勤手当（上限30,000円/月）
●住宅手当（5,000円～15,000円）提携の仲介会社利用の場合、契約手数料の家賃1か月分補助
＜その他＞
■各種社会保険完備(提携スポーツクラブ、保養所、レストラン、etc）
■定期健康診断（年1回）
■社内クラブ（5,000円補助）
■懇親会費用の補助
■社内イベント、社員旅行など各種レクリエーション
■バースデープレゼント（amazonギフト券など）
■書籍購入支援（業務で必要となる書籍を会社にて購入）",正社員,"東京渋谷区
本社（リモート併用）"
ITインフラの安定を支えるサポートエンジニアサーバ・ネットワーク管理,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l3b3b5234aeea35aa4a4fe643e9559083&p=t%2BAK7k0GmMUr0ZRss/MBm9CwAsp%2B7bomRFLWNnaIxKvIgUZ7uvSYC5Ug8hiDKlZmCl8gT%2BokQ/M8YFDYFzrDKQYG0AP8nj3uEmbPeSNblsCjoZC9ymsTqsHN0O7NdZ/vDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsPCTiVS/PFDtUnyQOap2/Y2IpYfSK9eZcQia5sOXg4NHwUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gNkrwF%2BaE4ths0GvPWrMd%2BmXZJYOH5D0G6jAkN9kVPTVUrheWlKJkImzT/uFYXvBaA6P1EE%2Bn/zAjyLQUCeGvo06GXRgvUQkuecO8JhVsdKsi/DR%2BrXe7D/PlZDpDxaN8kuvdhsERN6oklx3mlE5lKk%3D&ph=9df82b25c5a3&phv=1,株式会社クリアライズ,茨城県,年収600万円～700万円,【仕事内容】<職種>IT技術職>運用・保守・監視・テクニカルサポート<業種>メーカー>化学・石油,未指定,10時間前,"在宅ワーク, 交通費, 週休2日, Linux, 賞与あり, 禁煙・分煙, 家族手当",Linux,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
大型病院で活躍する「院内IT担当者」 年休125日,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lf9c522fd2cf1926546fd876cc5e1dd85&p=t%2BAK7k0GmMUr0ZRss/MBm8fVKNRsc4EHkbecaQdKGpW2jdXKom1vw99epoILC98UNYZN/RlDVGOhNGOxnhia7QYG0AP8nj3uEmbPeSNblsAD8xYgfAsrm7ZIto5RAHl/Docb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsM40ZF2KWDvmGSeI4dTtOUu3v5EghkFmtyIahw5e3w0OgUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gElbXflFyKI9xFFDS1Lf5rZLrzDB2ZNxicUPc6aXpoOQvBHKfaJubqvhtcFBfg5QmPYEIYV8LjBMKtm52EmscPaInBvBUsWSiPWK%2BetuAwnPzaBoB/wKQveO2nGwOYwjUA%3D%3D&ph=f673cfaca956&phv=1,株式会社NHCS,福岡県,年収400万円～500万円,【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>IT・インターネット>ソフトウエア,正社員,10時間前,"土日祝休, 禁煙・分煙, 少数精鋭, 社保完備, 交通費, 家族手当, UIターン",未指定,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
地域を支えるマックスバリュ東海本社の社内IT情報システム担当,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=ld5527daa917ce09f60705ec6c90d67be&p=t%2BAK7k0GmMUr0ZRss/MBm107OEnnYQQidh5H2qWcXQNGtzCoGY9z7Y2AaGiKOW9Ukp6PEnttmNn/KS/1Og9zdAYG0AP8nj3uEmbPeSNblsAXcKZI9NVExcWaljNC2zMZDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsNNGHzlcFoJcqMBl84uTK9NrWslrthta2WkuAzvLEARKAUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gOUqCfltNhOyIifjF5cC2FELLqjw0GzFEmI4HUSHoDOxhtQLw3zS9sfDCwg%2BdA5508fSZVTPo%2B534V%2Bx/6gyTpZzW9lWSkiyHiegqNtqtc8Tv/1Xk86Eog6WjcP3/oIRLh2sWWNWnSCd2CxPGafYEqE%3D&ph=2cb9df795d28&phv=1,マックスバリュ東海株式会社,静岡県,年収400万円～600万円,【仕事内容】<職種>IT技術職>インフラエンジニア<業種>流通・小売>小売...<業務内容> 社内システムの維持管理やトラブルシューティングを行い、システムの安定稼働を確保します。ITインフラの構築...,未指定,10時間前,"土日祝休, 賞与あり, 短時間OK, 地域密着, UIターン, Juniper, 週休2日",未指定,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
社内ITサポート DX推進・ヘルプデスク 賞与年2回 年間休日124日,https://xn--pckua2a7gp15o89zb.com/jb/69280fa9006d99c345ee74ba4638f9a5,内海建設コンサルタント株式会社,岡山県 岡山市 北区,年収450万円～600万円,【仕事内容】<社内システム管理>ワークフロー、勤怠システム、設計ソフト等の運用管理、更新、エラー対応(現在は外注)<各種IT機器...,正社員,4日前,"平日のみOK, CAD, 週休2日, 交通費, 福利厚生充実, 特別休暇, WEB面接",未指定,かんたん応募,"土日休み

土日祝祭日
年末年始　 盆休暇 　有給休暇　 特別休暇 　創立記念日（5/1）
年間休日124日",暂无信息,"年収450万円～600万円
【給与形態】
月給制
【年収】
450万円～600万円（各種手当込み）
【賞与】
年2回
【昇給】
有り

※残業代は実労働により別途支給
※年齢・知識・経験を考慮の上、当社規定に基づき決定します。

＜賞与＞
年2回",正社員,"岡山県岡山市北区北長瀬本町13番54号

岡山県岡山市北区北長瀬本町13番54号"
設立3年で4名 332名の急成長ITベンチャー／企業とエンジニアを繋ぐ...,https://xn--pckua2a7gp15o89zb.com/jb/920a74280afd2aa7eea6bc787b0805fd,株式会社VISIONARY JAPAN,東京都 千代田区,年収350万円,企業とエンジニアを繋ぐ架け橋に 将来性の高いIT業界<具体的には>...【勤務地】東京都千代田区岩本町2-11-9IT2 5階 【雇用形態】正社員,正社員,1日前,"服装自由, 産休・育休, UIターン, 社保完備, 週休2日",未指定,かんたん応募,"9:30～18:30
所定労働時間：8時間、休憩1時間
固定（一般的な勤務時間）
・完全週休2日制（土日）
・祝日
・有給休暇（10日～勤続年数に応じて最大20日）
・夏季休暇
・年末年始休暇
・GW休暇
・産前・産後休暇（取得実績あり）
・育児休暇（取得実績あり）
・介護休暇
・慶弔休暇
・結婚休暇",暂无信息,"年収
3,500,000円
8,500,000円
・キャリア支援制度
キャリアプラン＆スキルセット設計・実行・フォロー
役員といつでも1on1ミーティングが可能
実力派経営陣がメンターとしてサポート
・Macbook＆モニター支給
・引越し支援制度
賃貸物件紹介、仲介手数料50％以上OFFでUIターンをサポート！
・ベビーシッター利用補助
・退職金制度
・企業型確定拠出年金
・各種社会保険完備
・定期健康診断
・服装自由
・社内イベント（月1回）※参加自由
・社内表彰制度
・全社総会

＼独立した評価機関による評価・認定も多数／
▼マイナビ転職 BEST VALUE AWARD「アワード大賞」を受賞
「給与アップ」「働きかた」「キャリア支援」の3カテゴリーで総合的に優れた成果を挙げた企業へ進呈される『アワード大賞』を受賞！

▼ホワイト企業認定「プラチナ」を取得
役員にいつでも相談できる1on1制度、産育休取得率100%、有給取得の推奨など、働きやすい環境を整えています！",正社員,東京都千代田区岩本町2-11-9 IT2 5階
アプリ開発エンジニア／創業35年目秋葉原にあるIT企業／弊社プライム案...,https://xn--pckua2a7gp15o89zb.com/jb/b28101131d5f72b98afbecdc3cbc5687,株式会社アクセスネット,東京都 千代田区,年収500万円,"【仕事内容/この仕事のミッション】当社プライム案件として数十名が参画しているプロジェクトの増員となります。 業務詳細:IT企画...【業種サブ】ITコンサルティング, その他サービス(無形)",正社員,1日前,"未経験OK, 学歴不問, 土日祝休, 産休・育休, 研修あり, 特別休暇, 家族手当",アプリ開発,かんたん応募,"9:00:00
17:30:00
なし
土日祝休み
125
年末年始休暇, 夏季休暇, 慶弔休暇, 有給休暇, 産休・育休, 特別休暇
■有給休暇（初年度10日）
■産前・産後休暇（取得実績あり）
■育児休暇（取得実績あり）
■アニバーサリー休暇（年2日）",暂无信息,"500
700
■昇給：年1回（1月）
■賞与：年2回（7月、12月）
■昇給：年1回（1月）
■賞与：年2回（7月、12月）
2回
２ヶ月分
なし
交通費支給,健康診断,家族手当,役職手当,社会保険完備,資格取得制度,資格手当,退職金制度
■交通費支給（上限5万／月）
■従業員紹介報奨金制度
■役職手当
■残業手当
■資格取得一時金
└IT系資格を6段階に分け、難易度に応じてお祝い金を支給。支給額は5000円～30万円です。
■慶弔見舞金
■社員親睦会
■保養所
■リゾート施設利用会員
■財形貯蓄制度
■資格取得支援制度
■勤続表彰（3年連続：3万円、5年連続：5万円、10年連続：10万円）
■在籍手当（在籍年数1年ごとに毎月2000円を増額）例　在籍5年　10000円／毎月　支給",正社員,"プロジェクトに準ずる
東京
【23区内のクライアント先】

＜本社＞
東京都千代田区神田練塀町3番地 富士ソフトビル11階"
